Entidad,Fecha y Hora de Publicacion,Nomenclatura,Objeto de Contratacion,Descripcion del Objeto ,Valor Referencial,Moneda,Fecha Fin Formulación de consultas y observaciones(Electronica),Absolución de consultas y observaciones(Electronica),Integración de las Bases,Fecha Presentacion de Propuesta,Fecha de Buena Pro,Estado,Fideicomiso,Ruc,Razon Social,Tipo de Formulario,Telefono,Email,Ola
MTC-PROYECTO ESPECIAL DE INFRAESTRUCTURA DE TRANSPORTE NACIONAL (PROVIAS NACIONAL),25/08/2023,LP-SM-10-2023-MTC/20-1,Obra,Contratación del ejecutor de Obra: Rehabilitación y Mejoramiento de la Carretera Huallanca - Caraz," $558,479,463.96 ",Soles,11/09/2023,02/11/2023,02/11/2023,22/12/2023,10/01/2024,Convocado,No,20604673161,EMPRESA DE TRANSPORTES Y SERVICIOS GENERALES A&amp;amp;Y  S.A.C.,Observación/Consulta,958794664,joseluisguerrapamo@hotmail.com,Enero 2024
MTC-PROYECTO ESPECIAL DE INFRAESTRUCTURA DE TRANSPORTE NACIONAL (PROVIAS NACIONAL),25/08/2023,LP-SM-10-2023-MTC/20-1,Obra,Contratación del ejecutor de Obra: Rehabilitación y Mejoramiento de la Carretera Huallanca - Caraz," $558,479,463.96 ",Soles,11/09/2023,02/11/2023,02/11/2023,22/12/2023,10/01/2024,Convocado,No,20606265892,MESCO INGENIEROS E.I.R.L.,Observación,906251926,mescoingenieros@gmail.com,Enero 2024
MTC-PROYECTO ESPECIAL DE INFRAESTRUCTURA DE TRANSPORTE NACIONAL (PROVIAS NACIONAL),25/08/2023,LP-SM-10-2023-MTC/20-1,Obra,Contratación del ejecutor de Obra: Rehabilitación y Mejoramiento de la Carretera Huallanca - Caraz," $558,479,463.96 ",Soles,11/09/2023,02/11/2023,02/11/2023,22/12/2023,10/01/2024,Convocado,No,20602371442,CHINA GEZHOUBA GROUP COMPANY LIMITED SUCURSAL PERU,Consulta,(01) 743 9022,desarrollodemercados@cggcperu.com,Enero 2024
MTC-PROYECTO ESPECIAL DE INFRAESTRUCTURA DE TRANSPORTE NACIONAL (PROVIAS NACIONAL),25/08/2023,LP-SM-10-2023-MTC/20-1,Obra,Contratación del ejecutor de Obra: Rehabilitación y Mejoramiento de la Carretera Huallanca - Caraz," $558,479,463.96 ",Soles,11/09/2023,02/11/2023,02/11/2023,22/12/2023,10/01/2024,Convocado,No,20610309462,CHINA MACHINERY ENGINEERING CORPORATION SUCURSAL PERU,Observación,924161031,gsalas@cmec.com.pe,Enero 2024
MTC-PROYECTO ESPECIAL DE INFRAESTRUCTURA DE TRANSPORTE NACIONAL (PROVIAS NACIONAL),25/08/2023,LP-SM-10-2023-MTC/20-1,Obra,Contratación del ejecutor de Obra: Rehabilitación y Mejoramiento de la Carretera Huallanca - Caraz," $558,479,463.96 ",Soles,11/09/2023,02/11/2023,02/11/2023,22/12/2023,10/01/2024,Convocado,No,20109565017,CONSTRUCCION Y ADMINISTRACION S.A.,Consulta,6113939-947524354,casa@casacontratistas.com,Enero 2024
MTC-PROYECTO ESPECIAL DE INFRAESTRUCTURA DE TRANSPORTE NACIONAL (PROVIAS NACIONAL),25/08/2023,LP-SM-10-2023-MTC/20-1,Obra,Contratación del ejecutor de Obra: Rehabilitación y Mejoramiento de la Carretera Huallanca - Caraz," $558,479,463.96 ",Soles,11/09/2023,02/11/2023,02/11/2023,22/12/2023,10/01/2024,Convocado,No,20556295281,TABLEROS Y PUENTES S.A. SUCURSAL DEL PERU,Consulta,998698472,legal@TAPUSA.PE,Enero 2024
MTC-PROYECTO ESPECIAL DE INFRAESTRUCTURA DE TRANSPORTE NACIONAL (PROVIAS NACIONAL),25/08/2023,LP-SM-10-2023-MTC/20-1,Obra,Contratación del ejecutor de Obra: Rehabilitación y Mejoramiento de la Carretera Huallanca - Caraz," $558,479,463.96 ",Soles,11/09/2023,02/11/2023,02/11/2023,22/12/2023,10/01/2024,Convocado,No,20609697165,ROVELLA CARRANZA S.A. SUCURSAL PERU,Consulta,017156861-996098120,HQUISPE@BUSCONSULTINGWEB.COM,Enero 2024
MTC-PROYECTO ESPECIAL DE INFRAESTRUCTURA DE TRANSPORTE NACIONAL (PROVIAS NACIONAL),25/08/2023,LP-SM-10-2023-MTC/20-1,Obra,Contratación del ejecutor de Obra: Rehabilitación y Mejoramiento de la Carretera Huallanca - Caraz," $558,479,463.96 ",Soles,11/09/2023,02/11/2023,02/11/2023,22/12/2023,10/01/2024,Convocado,No,20602842330,CONSULTORIA &amp;amp; CONSTRUCCION GRUPO PERGOLA S.A.C.,Consulta,7229888-962789260,GERENCIAPERGOLASAC@GMAIL.COM,Enero 2024
MINISTERIO DE TRANSPORTES Y COMUNICACIONES,18/12/2023,AS-SM-23-2023-MTC/10-1,Obra,"EJECUCIÓN DE LA OBRA DEL PROYECTO: ""MEJORAMIENTO DEL BORDE COSTERO DE LOS BALNEARIOS DE LAS DELICIAS, BUENOS AIRE Y HUANCHACO"""," $455,793,365.51 ",Soles,21/12/2023,08/01/2024,08/01/2024,11/01/2024,17/01/2024,Convocado,No,20542319462,JHOELMA CONSTRUCTORES Y SERVICIOS GENERALES E.I.R.L.,Observación,971435755,Jhoelma2.jema@gmail.com,Enero 2024
MINISTERIO DE TRANSPORTES Y COMUNICACIONES,18/12/2023,AS-SM-23-2023-MTC/10-1,Obra,"EJECUCIÓN DE LA OBRA DEL PROYECTO: ""MEJORAMIENTO DEL BORDE COSTERO DE LOS BALNEARIOS DE LAS DELICIAS, BUENOS AIRE Y HUANCHACO"""," $455,793,365.51 ",Soles,21/12/2023,08/01/2024,08/01/2024,11/01/2024,17/01/2024,Convocado,No,20109565017,CONSTRUCCION Y ADMINISTRACION S.A.,Consulta,6113939-947524354,casa@casacontratistas.com,Enero 2024
MINISTERIO DE TRANSPORTES Y COMUNICACIONES,18/12/2023,AS-SM-23-2023-MTC/10-1,Obra,"EJECUCIÓN DE LA OBRA DEL PROYECTO: ""MEJORAMIENTO DEL BORDE COSTERO DE LOS BALNEARIOS DE LAS DELICIAS, BUENOS AIRE Y HUANCHACO"""," $455,793,365.51 ",Soles,21/12/2023,08/01/2024,08/01/2024,11/01/2024,17/01/2024,Convocado,No,20554399585,CCCC DEL PERU S.A.C.,Consulta/Observación,2965366,ccccdelperusac@cccc-peru.com,Enero 2024
MINISTERIO DE TRANSPORTES Y COMUNICACIONES,18/12/2023,AS-SM-23-2023-MTC/10-1,Obra,"EJECUCIÓN DE LA OBRA DEL PROYECTO: ""MEJORAMIENTO DEL BORDE COSTERO DE LOS BALNEARIOS DE LAS DELICIAS, BUENOS AIRE Y HUANCHACO"""," $455,793,365.51 ",Soles,21/12/2023,08/01/2024,08/01/2024,11/01/2024,17/01/2024,Convocado,No,20569270775,VEGA GROUP S.A.C.,Consulta,043355324,vegagroupsac@gmail.com,Enero 2024
MTC-PROYECTO ESPECIAL DE INFRAESTRUCTURA DE TRANSPORTE NACIONAL (PROVIAS NACIONAL),10/11/2023,CP-SM-57-2023-MTC/20-1,Servicio,"SERVICIO DE GESTIÓN, MEJORAMIENTO Y CONSERVACIÓN VIAL POR NIVELES DE SERVICIO DEL CORREDOR VIAL: EMP. PE-1S (PTE LOS MAESTROS) - PARCONA - TAMBILLO - EMP. PE - 28A (HAYTARÁ)/EMP. PE - 1S (CHINCHA ALTA) - PTE HUACHINGA - EMP. PE-28D (LACHOCC) / EMP. PE-1S (DV PARACAS) - PARACAS - PTO. SAN MARTIN / EMP. PE - 1SE (MALPASO) - SAN CLEMENTE - DV. PISCO - EMP. PE-1SE /EMP. PE 1S DV. SAN ANDRES - SAN ANDRES - PE 1SF / PE -1SG - EMP.PE 28 - PARACAS"," $385,668,418.74 ",Soles,24/11/2023,27/12/2023,27/12/2023,10/01/2024,15/01/2024,Convocado,No,20602979173,"SINOHYDRO CORPORATION LIMITED, SUCURSAL DEL PERU",Consulta,999542206,laura@powerchina-intl.com,Enero 2024
MTC-PROYECTO ESPECIAL DE INFRAESTRUCTURA DE TRANSPORTE NACIONAL (PROVIAS NACIONAL),10/11/2023,CP-SM-57-2023-MTC/20-1,Servicio,"SERVICIO DE GESTIÓN, MEJORAMIENTO Y CONSERVACIÓN VIAL POR NIVELES DE SERVICIO DEL CORREDOR VIAL: EMP. PE-1S (PTE LOS MAESTROS) - PARCONA - TAMBILLO - EMP. PE - 28A (HAYTARÁ)/EMP. PE - 1S (CHINCHA ALTA) - PTE HUACHINGA - EMP. PE-28D (LACHOCC) / EMP. PE-1S (DV PARACAS) - PARACAS - PTO. SAN MARTIN / EMP. PE - 1SE (MALPASO) - SAN CLEMENTE - DV. PISCO - EMP. PE-1SE /EMP. PE 1S DV. SAN ANDRES - SAN ANDRES - PE 1SF / PE -1SG - EMP.PE 28 - PARACAS"," $385,668,418.74 ",Soles,24/11/2023,27/12/2023,27/12/2023,10/01/2024,15/01/2024,Convocado,No,20480426518,ROADS CONSTRUCTION AND TECH EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA,Consulta,969408513,road.constructionandtech@gmail.com,Enero 2024
MTC-PROYECTO ESPECIAL DE INFRAESTRUCTURA DE TRANSPORTE NACIONAL (PROVIAS NACIONAL),30/10/2023,AS-SM-65-2023-MTC/20-1,Servicio,"SERVICIO DE GESTIÓN, MEJORAMIENTO Y CONSERVACION VIAL POR NIVELES DE SERVICIO DEL CORREDOR VIAL: DV. POMABAMBA - SIHUAS - HUACRACHUCO - SAN PEDRO DE CHONTA - UCHIZA - EMP. PE-5N"," $326,497,326.02 ",Soles,08/11/2023,03/01/2024,03/01/2024,12/01/2024,18/01/2024,Convocado,No,20494375959,GRUPO LIDERCON S.A.C.,Consulta,917162742,grupolidercom@gmail.com,Enero 2024
MTC-PROYECTO ESPECIAL DE INFRAESTRUCTURA DE TRANSPORTE NACIONAL (PROVIAS NACIONAL),30/10/2023,AS-SM-65-2023-MTC/20-1,Servicio,"SERVICIO DE GESTIÓN, MEJORAMIENTO Y CONSERVACION VIAL POR NIVELES DE SERVICIO DEL CORREDOR VIAL: DV. POMABAMBA - SIHUAS - HUACRACHUCO - SAN PEDRO DE CHONTA - UCHIZA - EMP. PE-5N"," $326,497,326.02 ",Soles,08/11/2023,03/01/2024,03/01/2024,12/01/2024,18/01/2024,Convocado,No,20600239598,CIELO &amp;amp; ESTRELLA S.A.C.,Observación/Consulta,917162742,cyestrella02@gmail.com,Enero 2024
MTC-PROYECTO ESPECIAL DE INFRAESTRUCTURA DE TRANSPORTE NACIONAL (PROVIAS NACIONAL),30/10/2023,AS-SM-65-2023-MTC/20-1,Servicio,"SERVICIO DE GESTIÓN, MEJORAMIENTO Y CONSERVACION VIAL POR NIVELES DE SERVICIO DEL CORREDOR VIAL: DV. POMABAMBA - SIHUAS - HUACRACHUCO - SAN PEDRO DE CHONTA - UCHIZA - EMP. PE-5N"," $326,497,326.02 ",Soles,08/11/2023,03/01/2024,03/01/2024,12/01/2024,18/01/2024,Convocado,No,20602613314,3RJI WORLD BUSINESS S.A.C.,Observación,954097792,RJI-WORD-BUSINESS@HOTMAIL.COM,Enero 2024
MTC-PROYECTO ESPECIAL DE INFRAESTRUCTURA DE TRANSPORTE NACIONAL (PROVIAS NACIONAL),30/10/2023,AS-SM-65-2023-MTC/20-1,Servicio,"SERVICIO DE GESTIÓN, MEJORAMIENTO Y CONSERVACION VIAL POR NIVELES DE SERVICIO DEL CORREDOR VIAL: DV. POMABAMBA - SIHUAS - HUACRACHUCO - SAN PEDRO DE CHONTA - UCHIZA - EMP. PE-5N"," $326,497,326.02 ",Soles,08/11/2023,03/01/2024,03/01/2024,12/01/2024,18/01/2024,Convocado,No,10732261287,ORE CARDENAS YONATHAN,Consulta/Observación,,abastecimientogra6@gmail.com,Enero 2024
MTC-PROYECTO ESPECIAL DE INFRAESTRUCTURA DE TRANSPORTE NACIONAL (PROVIAS NACIONAL),30/10/2023,AS-SM-65-2023-MTC/20-1,Servicio,"SERVICIO DE GESTIÓN, MEJORAMIENTO Y CONSERVACION VIAL POR NIVELES DE SERVICIO DEL CORREDOR VIAL: DV. POMABAMBA - SIHUAS - HUACRACHUCO - SAN PEDRO DE CHONTA - UCHIZA - EMP. PE-5N"," $326,497,326.02 ",Soles,08/11/2023,03/01/2024,03/01/2024,12/01/2024,18/01/2024,Convocado,No,20611592320,GRUPO IGNEAS S.A.C.,Consulta,917162742,grupoigneas@gmail.com,Enero 2024
MTC-PROYECTO ESPECIAL DE INFRAESTRUCTURA DE TRANSPORTE NACIONAL (PROVIAS NACIONAL),30/10/2023,AS-SM-65-2023-MTC/20-1,Servicio,"SERVICIO DE GESTIÓN, MEJORAMIENTO Y CONSERVACION VIAL POR NIVELES DE SERVICIO DEL CORREDOR VIAL: DV. POMABAMBA - SIHUAS - HUACRACHUCO - SAN PEDRO DE CHONTA - UCHIZA - EMP. PE-5N"," $326,497,326.02 ",Soles,08/11/2023,03/01/2024,03/01/2024,12/01/2024,18/01/2024,Convocado,No,20608425706,CORPORACION INVERSIONES MULTIPLES MANTARI EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA,Consulta,944120113,grupo-mantari@hotmail.com,Enero 2024
MTC-PROYECTO ESPECIAL DE INFRAESTRUCTURA DE TRANSPORTE NACIONAL (PROVIAS NACIONAL),30/10/2023,AS-SM-65-2023-MTC/20-1,Servicio,"SERVICIO DE GESTIÓN, MEJORAMIENTO Y CONSERVACION VIAL POR NIVELES DE SERVICIO DEL CORREDOR VIAL: DV. POMABAMBA - SIHUAS - HUACRACHUCO - SAN PEDRO DE CHONTA - UCHIZA - EMP. PE-5N"," $326,497,326.02 ",Soles,08/11/2023,03/01/2024,03/01/2024,12/01/2024,18/01/2024,Convocado,No,20494690714,HIDROVIAL CONTRATISTAS GENERALES SOCIEDAD ANONIMA CERRADA,Observación,988221800,YONYGA@HOTMAIL.COM,Enero 2024
MTC-PROYECTO ESPECIAL DE INFRAESTRUCTURA DE TRANSPORTE NACIONAL (PROVIAS NACIONAL),30/10/2023,AS-SM-65-2023-MTC/20-1,Servicio,"SERVICIO DE GESTIÓN, MEJORAMIENTO Y CONSERVACION VIAL POR NIVELES DE SERVICIO DEL CORREDOR VIAL: DV. POMABAMBA - SIHUAS - HUACRACHUCO - SAN PEDRO DE CHONTA - UCHIZA - EMP. PE-5N"," $326,497,326.02 ",Soles,08/11/2023,03/01/2024,03/01/2024,12/01/2024,18/01/2024,Convocado,No,20547047398,AG3 ARQUITECTOS INGENIEROS SOCIEDAD ANONIMA CERRADA,Observación,2262477-915077701,ag3groupsac@gmail.com,Enero 2024
MTC-PROYECTO ESPECIAL DE INFRAESTRUCTURA DE TRANSPORTE NACIONAL (PROVIAS NACIONAL),30/10/2023,AS-SM-65-2023-MTC/20-1,Servicio,"SERVICIO DE GESTIÓN, MEJORAMIENTO Y CONSERVACION VIAL POR NIVELES DE SERVICIO DEL CORREDOR VIAL: DV. POMABAMBA - SIHUAS - HUACRACHUCO - SAN PEDRO DE CHONTA - UCHIZA - EMP. PE-5N"," $326,497,326.02 ",Soles,08/11/2023,03/01/2024,03/01/2024,12/01/2024,18/01/2024,Convocado,No,20480441746,EDIFICACIONES Y CONSTRUCCIONES MODERNAS DEL PERU S.A.C.,Consulta/Observación,969408513,cardat_24@hotmail.com,Enero 2024
GOBIERNO REGIONAL DE AYACUCHO SEDE CENTRAL,02/10/2023,LP-SM-5-2023-GRA-SEDECENTRAL-1,Obra,CONTRATACION DE LA EJECUCION DE LA OBRA DEL COMPONENTE INFRAESTRUCTURA Y EQUIPAMIENTO DEL PROYECTO MEJORAMIENTO Y AMPLIACION DE LOS SERVICIOS DE SALUD DEL HOSPITAL DE APOYO DE PUQUIO FELIPE HUAMAN POMA DE AYALA DISTRITO DE PUQUIO- PROVINCIA DE LUCANAS -DEPARTAMENTO DE AYACUCHO," $295,335,984.60 ",Soles,17/10/2023,18/12/2023,18/12/2023,03/01/2024,05/01/2024,Convocado,No,20451316967,CEDOSA DEL ORIENTE S.A.C.,Consulta/Observación,4463373,mrojas@cedosac.com,Enero 2024
GOBIERNO REGIONAL DE AYACUCHO SEDE CENTRAL,02/10/2023,LP-SM-5-2023-GRA-SEDECENTRAL-1,Obra,CONTRATACION DE LA EJECUCION DE LA OBRA DEL COMPONENTE INFRAESTRUCTURA Y EQUIPAMIENTO DEL PROYECTO MEJORAMIENTO Y AMPLIACION DE LOS SERVICIOS DE SALUD DEL HOSPITAL DE APOYO DE PUQUIO FELIPE HUAMAN POMA DE AYALA DISTRITO DE PUQUIO- PROVINCIA DE LUCANAS -DEPARTAMENTO DE AYACUCHO," $295,335,984.60 ",Soles,17/10/2023,18/12/2023,18/12/2023,03/01/2024,05/01/2024,Convocado,No,20602842330,CONSULTORIA &amp;amp; CONSTRUCCION GRUPO PERGOLA S.A.C.,Consulta/Observación,7229888-962789260,GERENCIAPERGOLASAC@GMAIL.COM,Enero 2024
GOBIERNO REGIONAL DE AYACUCHO SEDE CENTRAL,02/10/2023,LP-SM-5-2023-GRA-SEDECENTRAL-1,Obra,CONTRATACION DE LA EJECUCION DE LA OBRA DEL COMPONENTE INFRAESTRUCTURA Y EQUIPAMIENTO DEL PROYECTO MEJORAMIENTO Y AMPLIACION DE LOS SERVICIOS DE SALUD DEL HOSPITAL DE APOYO DE PUQUIO FELIPE HUAMAN POMA DE AYALA DISTRITO DE PUQUIO- PROVINCIA DE LUCANAS -DEPARTAMENTO DE AYACUCHO," $295,335,984.60 ",Soles,17/10/2023,18/12/2023,18/12/2023,03/01/2024,05/01/2024,Convocado,No,20605411798,CONDORI CARDENAS CONTRATISTAS E.I.R.L. - CONDORI CARDENAS E.I.R.L.,Observación,959032628,condoricontratistas@hotmail.com,Enero 2024
GOBIERNO REGIONAL DE AYACUCHO SEDE CENTRAL,02/10/2023,LP-SM-5-2023-GRA-SEDECENTRAL-1,Obra,CONTRATACION DE LA EJECUCION DE LA OBRA DEL COMPONENTE INFRAESTRUCTURA Y EQUIPAMIENTO DEL PROYECTO MEJORAMIENTO Y AMPLIACION DE LOS SERVICIOS DE SALUD DEL HOSPITAL DE APOYO DE PUQUIO FELIPE HUAMAN POMA DE AYALA DISTRITO DE PUQUIO- PROVINCIA DE LUCANAS -DEPARTAMENTO DE AYACUCHO," $295,335,984.60 ",Soles,17/10/2023,18/12/2023,18/12/2023,03/01/2024,05/01/2024,Convocado,No,20608670255,NUÑEZ &amp;amp; SUMARI CONTRATISTAS GENERALES E.I.R.L.,Consulta,959158922,ns2021ica@gmail.com,Enero 2024
GOBIERNO REGIONAL DE AYACUCHO SEDE CENTRAL,02/10/2023,LP-SM-5-2023-GRA-SEDECENTRAL-1,Obra,CONTRATACION DE LA EJECUCION DE LA OBRA DEL COMPONENTE INFRAESTRUCTURA Y EQUIPAMIENTO DEL PROYECTO MEJORAMIENTO Y AMPLIACION DE LOS SERVICIOS DE SALUD DEL HOSPITAL DE APOYO DE PUQUIO FELIPE HUAMAN POMA DE AYALA DISTRITO DE PUQUIO- PROVINCIA DE LUCANAS -DEPARTAMENTO DE AYACUCHO," $295,335,984.60 ",Soles,17/10/2023,18/12/2023,18/12/2023,03/01/2024,05/01/2024,Convocado,No,20602371442,CHINA GEZHOUBA GROUP COMPANY LIMITED SUCURSAL PERU,Consulta,(01) 743 9022,desarrollodemercados@cggcperu.com,Enero 2024
GOBIERNO REGIONAL DE AYACUCHO SEDE CENTRAL,02/10/2023,LP-SM-5-2023-GRA-SEDECENTRAL-1,Obra,CONTRATACION DE LA EJECUCION DE LA OBRA DEL COMPONENTE INFRAESTRUCTURA Y EQUIPAMIENTO DEL PROYECTO MEJORAMIENTO Y AMPLIACION DE LOS SERVICIOS DE SALUD DEL HOSPITAL DE APOYO DE PUQUIO FELIPE HUAMAN POMA DE AYALA DISTRITO DE PUQUIO- PROVINCIA DE LUCANAS -DEPARTAMENTO DE AYACUCHO," $295,335,984.60 ",Soles,17/10/2023,18/12/2023,18/12/2023,03/01/2024,05/01/2024,Convocado,No,20602241671,OPERACIONES Y SERVICIOS TITAN DEL PERU E.I.R.L.,Observación/Consulta,990075744,titan.del.peru@gmail.com,Enero 2024
